#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-08-21T02:41:17 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ53f55ad7396a	
#INFO	-out.max=unlimited	
#INFO	queryParameters=14	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/208/10&tab:{J/ApJS/208/10/model}&key:source=J/ApJS/208/10/model&HTTPPRM:&
#-source=J/ApJS/208/10/model
#-order=I
#-out=Z
#-out=kappa
#kappa=20
#-out=logq
#-out=O3-4959
#-out=O3-5007
#-out=N2-6548
#-out=Ha
#-out=N2-6584
#

#RESOURCE=yCat_22080010
#Name: J/ApJS/208/10
#Title: Effects of a {kappa}-distribution in HII regions (Dopita+, 2013)
#Table	J_ApJS_208_10_model:
#Name: J/ApJS/208/10/model
#Title: Line fluxes (relative to H{beta}=1.0) and temperatures given by the MAPPINGS 4 models {\em(tables 4--6 of paper)}
#Column	Z	(F5.2)	[0.05/5] Model metallicity (relative to Sun)	[ucd=phys.abund.Z;meta.modelled]
#Column	kappa	(I2)	[10/50]? Model {kappa} value (blank values mean {\bf{infinity}}) [NULL integer written as an empty string]	[ucd=stat.param]
#Column	logq	(F5.2)	[6.5/8.5] Model ionization parameter (G1)	[ucd=stat.param]
#Column	O3-4959	(F7.4)	The [O III] 4959 line flux (1)	[ucd=spect.line.intensity;arith.ratio]
#Column	O3-5007	(F7.4)	The [O III] 5007 line flux (1)	[ucd=spect.line.intensity;arith.ratio]
#Column	N2-6548	(F7.4)	The [N II] 6548{AA} line flux (1)	[ucd=spect.line.intensity;arith.ratio]
#Column	Ha	(F7.4)	The H{alpha} line flux (1)	[ucd=spect.line.intensity;arith.ratio]
#Column	N2-6584	(F7.4)	The [N II] 6584{AA} line flux (1)	[ucd=spect.line.intensity;arith.ratio]
#Z	kappa	logq	O3-4959	O3-5007	N2-6548	Ha	N2-6584
#Sun	 	[m/s]	 	 	 	 	
#-----	--	-----	-------	-------	-------	-------	-------
 5.00	20	 8.50	 0.0075	 0.0216	 0.0862	 3.3520	 0.2536
 5.00	20	 8.25	 0.0056	 0.0161	 0.0782	 3.3330	 0.2299
 5.00	20	 8.00	 0.0047	 0.0137	 0.0777	 3.3090	 0.2287
 5.00	20	 7.75	 0.0041	 0.0117	 0.0821	 3.2890	 0.2415
 5.00	20	 7.50	 0.0031	 0.0090	 0.0864	 3.2750	 0.2542
 5.00	20	 7.25	 0.0019	 0.0056	 0.0841	 3.2800	 0.2474
 5.00	20	 7.00	 0.0008	 0.0022	 0.0643	 3.3150	 0.1891
 5.00	20	 6.75	 0.0002	 0.0006	 0.0381	 3.3820	 0.1121
 5.00	20	 6.50	 0.0000	 0.0001	 0.0151	 3.4900	 0.0445
 3.00	20	 8.50	 0.1810	 0.5232	 0.1435	 3.1450	 0.4224
 3.00	20	 8.25	 0.1718	 0.4965	 0.1651	 3.1270	 0.4859
 3.00	20	 8.00	 0.1624	 0.4694	 0.1993	 3.1060	 0.5865
 3.00	20	 7.75	 0.1447	 0.4183	 0.2463	 3.0860	 0.7248
 3.00	20	 7.50	 0.1128	 0.3260	 0.2984	 3.0700	 0.8781
 3.00	20	 7.25	 0.0716	 0.2071	 0.3400	 3.0620	 1.0000
 3.00	20	 7.00	 0.0358	 0.1034	 0.3541	 3.0620	 1.0420
 3.00	20	 6.75	 0.0144	 0.0415	 0.3369	 3.0700	 0.9913
 3.00	20	 6.50	 0.0049	 0.0143	 0.2981	 3.0830	 0.8772
 2.00	20	 8.50	 0.6125	 1.7700	 0.1073	 3.0370	 0.3158
 2.00	20	 8.25	 0.5817	 1.6810	 0.1208	 3.0320	 0.3553
 2.00	20	 8.00	 0.5414	 1.5650	 0.1446	 3.0250	 0.4256
 2.00	20	 7.75	 0.4765	 1.3770	 0.1823	 3.0160	 0.5363
 2.00	20	 7.50	 0.3769	 1.0900	 0.2332	 3.0080	 0.6862
 2.00	20	 7.25	 0.2515	 0.7270	 0.2875	 3.0030	 0.8457
 2.00	20	 7.00	 0.1344	 0.3885	 0.3275	 3.0030	 0.9636
 2.00	20	 6.75	 0.0572	 0.1653	 0.3396	 3.0070	 0.9992
 2.00	20	 6.50	 0.0205	 0.0592	 0.3259	 3.0140	 0.9590
 1.00	20	 8.50	 1.3120	 3.7920	 0.0539	 2.9590	 0.1585
 1.00	20	 8.25	 1.2610	 3.6460	 0.0574	 2.9590	 0.1689
 1.00	20	 8.00	 1.1810	 3.4130	 0.0646	 2.9600	 0.1901
 1.00	20	 7.75	 1.0510	 3.0380	 0.0782	 2.9590	 0.2300
 1.00	20	 7.50	 0.8534	 2.4670	 0.1004	 2.9600	 0.2954
 1.00	20	 7.25	 0.5943	 1.7180	 0.1298	 2.9630	 0.3820
 1.00	20	 7.00	 0.3306	 0.9555	 0.1578	 2.9690	 0.4642
 1.00	20	 6.75	 0.1409	 0.4073	 0.1718	 2.9810	 0.5056
 1.00	20	 6.50	 0.0477	 0.1378	 0.1679	 2.9950	 0.4941
 0.50	20	 8.50	 1.5320	 4.4280	 0.0236	 2.9250	 0.0694
 0.50	20	 8.25	 1.5000	 4.3350	 0.0243	 2.9260	 0.0716
 0.50	20	 8.00	 1.4320	 4.1380	 0.0260	 2.9280	 0.0765
 0.50	20	 7.75	 1.3010	 3.7600	 0.0295	 2.9330	 0.0868
 0.50	20	 7.50	 1.0780	 3.1150	 0.0361	 2.9410	 0.1063
 0.50	20	 7.25	 0.7603	 2.1970	 0.0462	 2.9550	 0.1360
 0.50	20	 7.00	 0.4205	 1.2150	 0.0573	 2.9730	 0.1686
 0.50	20	 6.75	 0.1721	 0.4974	 0.0637	 2.9950	 0.1874
 0.50	20	 6.50	 0.0539	 0.1558	 0.0622	 3.0160	 0.1830
 0.30	20	 8.50	 1.3320	 3.8490	 0.0123	 2.9310	 0.0362
 0.30	20	 8.25	 1.3120	 3.7930	 0.0125	 2.9320	 0.0369
 0.30	20	 8.00	 1.2620	 3.6470	 0.0131	 2.9350	 0.0384
 0.30	20	 7.75	 1.1550	 3.3370	 0.0143	 2.9400	 0.0420
 0.30	20	 7.50	 0.9612	 2.7780	 0.0168	 2.9510	 0.0495
 0.30	20	 7.25	 0.6783	 1.9610	 0.0211	 2.9670	 0.0621
 0.30	20	 7.00	 0.3713	 1.0730	 0.0263	 2.9890	 0.0773
 0.30	20	 6.75	 0.1482	 0.4284	 0.0295	 3.0130	 0.0867
 0.30	20	 6.50	 0.0447	 0.1292	 0.0289	 3.0350	 0.0849
 0.20	20	 8.50	 1.0900	 3.1600	 0.0069	 2.9500	 0.0203
 0.20	20	 8.25	 1.0800	 3.1200	 0.0070	 2.9500	 0.0206
 0.20	20	 8.00	 1.0400	 3.0100	 0.0072	 2.9600	 0.0212
 0.20	20	 7.75	 0.9580	 2.7700	 0.0077	 2.9600	 0.0228
 0.20	20	 7.50	 0.8040	 2.3200	 0.0089	 2.9700	 0.0262
 0.20	20	 7.25	 0.5730	 1.6600	 0.0111	 2.9900	 0.0326
 0.20	20	 7.00	 0.3180	 0.9180	 0.0139	 3.0100	 0.0410
 0.20	20	 6.75	 0.1270	 0.3680	 0.0159	 3.0300	 0.0468
 0.20	20	 6.50	 0.0381	 0.1100	 0.0157	 3.0500	 0.0463
 0.10	20	 8.50	 0.6680	 1.9300	 0.0026	 2.9900	 0.0077
 0.10	20	 8.25	 0.6600	 1.9100	 0.0027	 2.9900	 0.0078
 0.10	20	 8.00	 0.6380	 1.8500	 0.0027	 2.9900	 0.0080
 0.10	20	 7.75	 0.5900	 1.7100	 0.0029	 3.0000	 0.0084
 0.10	20	 7.50	 0.4990	 1.4400	 0.0032	 3.0100	 0.0095
 0.10	20	 7.25	 0.3610	 1.0400	 0.0040	 3.0200	 0.0117
 0.10	20	 7.00	 0.2040	 0.5890	 0.0050	 3.0400	 0.0148
 0.10	20	 6.75	 0.0830	 0.2400	 0.0059	 3.0500	 0.0173
 0.10	20	 6.50	 0.0248	 0.0718	 0.0059	 3.0700	 0.0174
 0.05	20	 8.50	 0.3620	 1.0460	 0.0011	 3.0130	 0.0033
 0.05	20	 8.25	 0.3579	 1.0340	 0.0011	 3.0140	 0.0033
 0.05	20	 8.00	 0.3466	 1.0020	 0.0012	 3.0160	 0.0034
 0.05	20	 7.75	 0.3210	 0.9279	 0.0012	 3.0190	 0.0036
 0.05	20	 7.50	 0.2724	 0.7874	 0.0014	 3.0250	 0.0040
 0.05	20	 7.25	 0.1979	 0.5721	 0.0017	 3.0360	 0.0049
 0.05	20	 7.00	 0.1123	 0.3247	 0.0021	 3.0500	 0.0062
 0.05	20	 6.75	 0.0459	 0.1325	 0.0025	 3.0660	 0.0073
 0.05	20	 6.50	 0.0137	 0.0395	 0.0025	 3.0840	 0.0074

