#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-10-16T21:19:14 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ544035f488c4	
#INFO	-out.max=unlimited	
#INFO	queryParameters=10	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AJ/116/2805&tab:{J/AJ/116/2805/table5}&key:source=J/AJ/116/2805/table5&HTTPPRM:&
#-source=J/AJ/116/2805/table5
#-order=I
#-out=T(O++)
#-out=12+log(O/H)
#-out=e_12+log(O/H)
#-out=log(N/O)
#-out=e_log(N/O)
#

#RESOURCE=yCat_51162805
#Name: J/AJ/116/2805
#Title: H II regions in spiral galaxies (Van Zee+, 1998)
#Table	J_AJ_116_2805_table5:
#Name: J/AJ/116/2805/table5
#Title: H II region abundances
#Column	T(O++)	(I5)	Temperature from O++	[ucd=phys.temperature]
#Column	12+log(O/H)	(F5.2)	12+log(O/H abundance	[ucd=phys.abund]
#Column	e_12+log(O/H)	(F5.2)	rms uncertainty on 12+log(O/H)	[ucd=stat.error]
#Column	log(N/O)	(F5.2)	log(N/O) abundance ratio	[ucd=phys.abund]
#Column	e_log(N/O)	(F5.2)	rms uncertainty on log(N/O)	[ucd=stat.error]
#T(O++)	12+log(O/H)	e_12+log(O/H)	log(N/O)	e_log(N/O)
#K	 	 	 	
#-----	-----	-----	-----	-----
 5700	 8.88	 0.12	-1.15	 0.17
 4800	 8.95	 0.19	-1.14	 0.24
 5500	 8.90	 0.12	-1.17	 0.18
 6200	 8.82	 0.10	-1.12	 0.15
 5100	 8.94	 0.14	-1.15	 0.21
 5300	 8.95	 0.14	-1.14	 0.20
 6400	 8.79	 0.10	-1.19	 0.14
 6700	 8.69	 0.10	-1.23	 0.13
 6000	 8.85	 0.11	-0.97	 0.16
 6200	 8.80	 0.10	-1.18	 0.15
 6900	 8.73	 0.10	-1.15	 0.12
 7000	 8.69	 0.11	-1.16	 0.16
 8500	 8.48	 0.10	-1.20	 0.13
 6400	 8.70	 0.10	-1.47	 0.14
 7500	 8.60	 0.10	-1.18	 0.11
 7400	 8.65	 0.10	-1.26	 0.11
 8300	 8.55	 0.10	-1.22	 0.14
 7400	 8.64	 0.10	-1.39	 0.11
12000	 8.10	 0.10	-1.39	 0.13
 5100	 8.98	 0.15	-1.09	 0.21
 5100	 8.94	 0.14	-1.14	 0.21
 5500	 8.89	 0.12	-1.18	 0.18
 5500	 8.87	 0.12	-1.16	 0.18
 5100	 8.96	 0.15	-1.03	 0.21
 5400	 8.86	 0.13	-1.19	 0.19
 5800	 8.82	 0.11	-1.23	 0.17
 5800	 8.84	 0.11	-1.18	 0.17
 6900	 8.71	 0.10	-1.30	 0.13
 8890	 8.48	 0.05	-1.34	 0.08
 7400	 8.60	 0.10	-1.37	 0.11
 7900	 8.58	 0.10	-1.42	 0.13
 7900	 8.48	 0.23	-1.25	 0.30
 8900	 8.38	 0.25	-1.37	 0.33
 7000	 8.68	 0.10	-1.35	 0.12
10300	 8.23	 0.17	-1.28	 0.23
 8300	 8.48	 0.10	-1.42	 0.14
 8500	 8.51	 0.10	-1.45	 0.13
 8700	 8.38	 0.24	-1.46	 0.35
 8900	 8.28	 0.11	-1.64	 0.16
12500	 8.01	 0.10	-1.43	 0.12
 7800	 8.61	 0.10	-1.41	 0.10
 8300	 8.56	 0.10	-1.49	 0.14
 8500	 8.53	 0.10	-1.44	 0.13
10000	 8.35	 0.18	-1.40	 0.25
 8600	 8.39	 0.19	-1.52	 0.26
 7500	 8.65	 0.10	-1.34	 0.11
11200	 8.19	 0.10	-1.48	 0.15
 7700	 8.59	 0.10	-1.46	 0.12
 7100	 8.67	 0.10	-1.50	 0.12
11200	 8.27	 0.11	-1.27	 0.15
11000	 8.20	 0.10	-1.57	 0.15
 9300	 8.31	 0.23	-1.27	 0.29
 7400	 8.65	 0.10	-1.45	 0.11
10000	 8.39	 0.10	-1.47	 0.12
11000	 8.19	 0.10	-1.43	 0.15
 9800	 8.30	 0.10	-1.52	 0.14
 9700	 8.29	 0.10	-1.55	 0.15
10300	 8.29	 0.16	-1.41	 0.23
 9700	 8.30	 0.10	-1.58	 0.15
 7800	 8.49	 0.10	-1.51	 0.14
 8100	 8.50	 0.10	-1.43	 0.14
 8600	 8.38	 0.18	-1.51	 0.26
 9440	 8.39	 0.09	-1.53	 0.13
 4700	 9.04	 0.13	-0.82	 0.15
 4200	 9.07	 0.10	-0.95	 0.13
 4900	 8.94	 0.11	-1.07	 0.14
 5200	 8.87	 0.10	-1.00	 0.13
 4300	 9.08	 0.10	-0.88	 0.12
 5100	 8.94	 0.14	-1.00	 0.26
 5900	 8.83	 0.10	-1.07	 0.13
 5800	 8.85	 0.10	-1.02	 0.14
 5900	 8.80	 0.10	-1.03	 0.13
 7000	 8.67	 0.10	-1.12	 0.16
 6600	 8.74	 0.10	-1.21	 0.14
 5800	 8.85	 0.10	-1.05	 0.17
 6500	 8.77	 0.10	-1.18	 0.14
 6700	 8.71	 0.10	-1.16	 0.13
 7300	 8.64	 0.11	-1.16	 0.17
 6400	 8.75	 0.10	-1.22	 0.14
10670	 8.20	 0.05	-1.09	 0.08
 4000	 9.18	 0.11	-0.55	 0.14
 4900	 8.91	 0.13	-0.97	 0.16
 5200	 8.94	 0.11	-0.82	 0.15
 3300	 9.30	 0.21	-0.61	 0.20
 4300	 9.10	 0.10	-0.79	 0.12
 4100	 9.10	 0.10	-0.90	 0.13
 3900	 9.12	 0.11	-0.96	 0.14
 4100	 9.11	 0.11	-0.92	 0.13
 3500	 9.26	 0.16	-0.79	 0.17
 3550	 9.24	 0.17	-0.63	 0.17
 4900	 8.95	 0.11	-0.89	 0.14
 3900	 9.12	 0.10	-0.88	 0.14
 4000	 9.12	 0.10	-0.88	 0.14
 4500	 9.04	 0.10	-0.78	 0.12
 6200	 8.74	 0.10	-1.14	 0.12
 7600	 8.74	 0.24	-1.16	 0.30
 8200	 8.40	 0.21	-1.23	 0.27
 6200	 8.72	 0.11	-1.28	 0.15
 7100	 8.66	 0.10	-1.38	 0.12
 9100	 8.44	 0.10	-1.35	 0.14
 8000	 8.44	 0.18	-1.36	 0.28
 8500	 8.42	 0.18	-1.39	 0.25
10300	 8.23	 0.17	-1.53	 0.23
 8000	 8.46	 0.20	-1.40	 0.28
 7800	 8.33	 0.22	-1.48	 0.31
 7400	 8.44	 0.23	-1.48	 0.32
 8600	 8.43	 0.19	-1.47	 0.26
 9100	 8.35	 0.23	-1.56	 0.31
 8500	 8.34	 0.18	-1.58	 0.25
 8900	 8.33	 0.24	-1.58	 0.32
 9300	 8.26	 0.21	-1.56	 0.29
 9000	 8.21	 0.11	-1.55	 0.15
 5900	 8.84	 0.10	-1.14	 0.13
 7300	 8.64	 0.11	-1.27	 0.17
 6500	 8.75	 0.10	-1.25	 0.14
 6200	 8.79	 0.10	-1.18	 0.15
 7300	 8.62	 0.11	-1.32	 0.17
 6800	 8.75	 0.10	-1.28	 0.13
 7300	 8.65	 0.11	-1.29	 0.17
 8000	 8.56	 0.10	-1.35	 0.15
 9710	 8.33	 0.04	-1.34	 0.08
 7900	 8.61	 0.10	-1.37	 0.13
11480	 8.19	 0.05	-1.31	 0.08
10000	 8.38	 0.10	-1.38	 0.13
 9700	 8.28	 0.20	-1.30	 0.27
 9180	 8.49	 0.13	-1.53	 0.19
10970	 8.22	 0.03	-1.37	 0.06
 9300	 8.40	 0.10	-1.42	 0.14
12000	 8.16	 0.10	-1.32	 0.13
13120	 8.06	 0.03	-1.43	 0.07
13100	 7.87	 0.10	-1.68	 0.14
13210	 7.98	 0.05	-1.48	 0.09
 6000	 8.95	 0.25	-1.30	 0.34
 6900	 8.69	 0.10	-1.22	 0.14
 6000	 8.83	 0.10	-1.08	 0.13
 8000	 8.60	 0.10	-1.25	 0.15
 6200	 8.78	 0.10	-0.96	 0.15
 5500	 8.79	 0.16	-1.16	 0.19
 5800	 8.81	 0.11	-1.09	 0.17
 5600	 8.79	 0.14	-1.12	 0.18
 6700	 8.71	 0.10	-1.19	 0.13
 6400	 8.78	 0.10	-1.19	 0.14
 6400	 8.70	 0.11	-1.26	 0.14
 6000	 8.74	 0.12	-1.25	 0.16
 5700	 8.79	 0.12	-1.24	 0.17
 3400	 9.27	 0.15	-0.70	 0.18
 3700	 9.23	 0.15	-0.67	 0.16
 3800	 9.19	 0.11	-0.74	 0.15
 3900	 9.18	 0.10	-0.78	 0.14
 3600	 9.24	 0.14	-0.81	 0.16
 4000	 9.12	 0.10	-0.89	 0.14
 4300	 9.11	 0.11	-0.79	 0.12
 4100	 9.09	 0.10	-0.99	 0.13
 5000	 9.10	 0.19	-1.08	 0.28
 4200	 9.05	 0.10	-1.06	 0.13
 4400	 9.05	 0.10	-0.97	 0.12
 5400	 9.01	 0.22	-1.21	 0.28
 4700	 8.97	 0.11	-1.07	 0.15
 6000	 8.71	 0.10	-1.02	 0.16
 5500	 8.90	 0.13	-1.05	 0.18
 5500	 8.87	 0.12	-1.06	 0.18
 6200	 8.82	 0.10	-1.09	 0.15
 7800	 8.48	 0.21	-1.50	 0.31
 8100	 8.57	 0.10	-1.29	 0.25
 9700	 8.29	 0.20	-1.44	 0.27
 8900	 8.39	 0.23	-1.60	 0.32
 8930	 8.41	 0.17	-1.44	 0.27
10300	 8.33	 0.17	-1.59	 0.23
 8500	 8.39	 0.17	-1.41	 0.25
10000	 8.31	 0.17	-1.66	 0.25
 9100	 8.38	 0.22	-1.48	 0.31
12000	 8.06	 0.10	-1.46	 0.13
10050	 8.33	 0.05	-1.55	 0.09
 3600	 9.23	 0.17	-0.57	 0.17
 4250	 9.13	 0.12	-0.80	 0.15
 9880	 8.41	 0.03	-1.17	 0.06
10450	 8.22	 0.04	-1.39	 0.07
 7600	 8.49	 0.21	-1.49	 0.30
 8600	 8.30	 0.19	-1.47	 0.26
 8900	 8.38	 0.24	-1.54	 0.33
 9100	 8.28	 0.23	-1.48	 0.31
12750	 8.01	 0.03	-1.44	 0.06
 8300	 8.44	 0.19	-1.55	 0.27
10300	 8.09	 0.10	-1.43	 0.14
13630	 7.92	 0.03	-1.45	 0.06
12200	 7.95	 0.10	-1.51	 0.13

