#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-08-21T02:09:09 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ53f54ab5076d	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AJ/116/2805&tab:{J/AJ/116/2805/table3}&key:source=J/AJ/116/2805/table3&HTTPPRM:&
#-source=J/AJ/116/2805/table3
#-order=I
#-out=[OII]
#-out=e_[OII]
#-out=[OIII]
#-out=e_[OIII]
#-out=Halpha
#-out=e_Halpha
#-out=[NII]
#-out=e_[NII]
#

#RESOURCE=yCat_51162805
#Name: J/AJ/116/2805
#Title: H II regions in spiral galaxies (Van Zee+, 1998)
#Table	J_AJ_116_2805_table3:
#Name: J/AJ/116/2805/table3
#Title: H II region line strengths
#Column	[OII]	(F5.2)	Relative [O II]3727+3729 line strength (2)	[ucd=spect.line.intensity;arith.ratio]
#Column	e_[OII]	(F5.2)	rms uncertainty on [OII]	[ucd=stat.error]
#Column	[OIII]	(F6.3)	Relative [O III] 4959+5007 line strength (2)	[ucd=spect.line.intensity;arith.ratio]
#Column	e_[OIII]	(F6.3)	rms uncertainty on [OIII]	[ucd=stat.error]
#Column	Halpha	(F5.2)	Relative H{alpha} 6563 line strength (2)	[ucd=spect.line.intensity;arith.ratio]
#Column	e_Halpha	(F5.2)	rms uncertainty on Halpha	[ucd=stat.error]
#Column	[NII]	(F6.3)	Relative [N II] 6548+6583 line strength (2)	[ucd=spect.line.intensity;arith.ratio]
#Column	e_[NII]	(F6.3)	rms uncertainty on [NII]	[ucd=stat.error]
#[OII]	e_[OII]	[OIII]	e_[OIII]	Halpha	e_Halpha	[NII]	e_[NII]
 2.19	 0.08	 1.486	 0.034	 2.86	 0.13	 0.676	 0.024
 2.32	 0.16	 0.353	 0.036	 2.86	 0.20	 0.960	 0.057
 2.62	 0.12	 1.035	 0.031	 2.65	 0.13	 0.807	 0.033
 2.48	 0.10	 2.070	 0.050	 2.87	 0.13	 0.722	 0.027
 2.26	 0.09	 0.709	 0.022	 2.86	 0.13	 0.879	 0.034
 1.89	 0.07	 1.141	 0.025	 2.86	 0.13	 0.739	 0.027
 2.96	 0.11	 2.068	 0.045	 2.81	 0.12	 0.686	 0.024
 4.05	 0.21	 1.476	 0.052	 2.86	 0.16	 0.846	 0.040
 2.35	 0.12	 1.925	 0.064	 3.74	 0.20	 1.001	 0.044
 3.12	 0.14	 1.591	 0.042	 2.86	 0.14	 0.788	 0.032
 2.88	 0.11	 2.715	 0.060	 2.72	 0.12	 0.666	 0.023
 3.74	 0.15	 2.221	 0.051	 2.76	 0.13	 0.821	 0.030
 4.76	 0.26	 2.488	 0.085	 2.82	 0.16	 0.795	 0.037
 4.23	 0.25	 0.866	 0.053	 2.86	 0.19	 0.569	 0.037
 4.12	 0.26	 2.254	 0.094	 2.83	 0.19	 0.822	 0.045
 3.43	 0.16	 2.936	 0.080	 2.86	 0.15	 0.581	 0.027
 3.39	 0.20	 4.014	 0.150	 2.83	 0.18	 0.532	 0.029
 3.38	 0.16	 2.936	 0.082	 2.78	 0.15	 0.426	 0.020
 2.48	 0.10	 5.365	 0.120	 2.56	 0.12	 0.211	 0.008
 1.69	 0.08	 1.036	 0.031	 2.86	 0.14	 0.726	 0.030
 2.37	 0.09	 0.698	 0.019	 2.87	 0.13	 0.899	 0.034
 2.88	 0.11	 0.915	 0.023	 2.89	 0.13	 0.866	 0.032
 2.94	 0.12	 0.826	 0.024	 2.89	 0.14	 0.919	 0.035
