Table 9
Emission Line Fluxes for WR Clusters
Note: The extinction corrected flux of measured emission lines in comparison to Hbeta, given in the last column with units of 10-15 erg cm-2 s-1.

Source	OII_3727	Hdelta	Hgamma	OIII_4363	OIII_4959	OIII_5007	NII_6548	Halpha	NII_6584	SII_6717	SII_6732	OII_7319	OII_7330	Hbeta	   
lam	3727	4102	4341	4363	4959	5007	6548	6563	6584	6717	6732	7319	7330	4861	   
N2366-Obj 10	45 (4)	23 (2)	46 (4)	15 (1)	238 (20)	705 (60)	0.8 (0.1)	292 (24)	2.0 (0.2)	3.6 (0.3)	3.4 (0.3)	1.0 (0.1)	0.8 (0.1)	590 (50)	
N2366-Obj 11	69 (10)	23 (3)	39 (5)	12 (2)	205 (25)	707 (87)	1.1 (0.2)	305 (33)	2.6 (0.3)	5.2 (0.6)	3.9 (0.5)	1.1 (0.3)	1.5 (0.5)	225 (28)	
N4214-Obj 13	277 (41)	22 (3)	46 (6)	2.0 (0.4)	97 (12)	292 (36)	7.2 (0.8)	274 (30)	20 (2)	19 (2)	14 (2)	3.0 (0.5)	2.6 (0.5)	80.8 (10.2)	
N4214-Obj 14	219 (37)	23 (4)	45 (7)	2.8 (0.5)	108 (15)	326 (45)	6.1 (0.7)	245 (29)	20 (2)	18 (2)	14 (2)	2.9 (0.4)	2.8 (0.4)	133 (19)	
N4214-Obj 15/16	248 (27)	30 (3)	46 (5)	3.8 (0.4)	145 (14)	316 (31)	6.1 (0.6)	296 (27)	21 (2)	20 (2)	14 (1)	2.8 (0.3)	3.2 (0.4)	194 (19)	
N4449-Obj 4	327 (77)	16 (4)	34 (7)	7 (2)	92 (17)	240 (45)	13 (2)	312 (49)	33 (5)	34 (6)	26 (4)	11 (3)	 ... 	34.1 (6.6)	
N4449-Obj 18	316 (36)	26 (3)	48 (5)	2.2 (0.3)	54 (5)	170 (17)	10.2 (1.0)	268 (25)	29 (3)	27 (3)	18 (2)	2.8 (0.5)	2.8 (0.6)	30.7 (3.1)	
N4449-Obj 22	417 (96)	29 (6)	57 (12)	6 (1)	69 (13)	190 (35)	10 (2)	304 (47)	35 (5)	51 (8)	36 (5)	6 (1)	3.6 (0.7)	24.0 (4.5)	
N4449-Obj 26	204 (19)	24 (2)	46 (4)	2.1 (0.2)	126 (11)	376 (32)	5.3 (0.4)	294 (24)	16 (1)	16 (1)	12 (1)	2.4 (0.2)	2.1 (0.2)	289 (25)	
N6946-Obj 13	195 (73)	22 (7)	43 (14)	 ... 	28 (8)	84 (24)	41 (10)	457 (109)	128 (31)	57 (13)	41 (10)	3.4 (0.8)	2.8 (0.7)	14.6 (4.4)	
N6946-Obj 48	129 (49)	23 (8)	42 (14)	3 (1)	13 (4)	43 (13)	75 (18)	452 (110)	232 (56)	67 (16)	68 (16)	7 (2)	5 (1)	12.6 (3.9)	
N6946-Obj 110	197 (71)	24 (8)	43 (14)	1.6 (0.6)	69 (20)	212 (60)	35 (8)	486 (113)	107 (25)	52 (12)	40 (9)	4.2 (1.0)	4 (1)	28.9 (8.4)	
N6946-Obj 115	179 (39)	25 (5)	44 (8)	1.9 (0.5)	25 (4)	76 (13)	43 (6)	480 (71)	159 (23)	51 (7)	37 (5)	2.7 (0.7)	2.0 (0.6)	11.0 (2.0)	
N6946-Obj 117	218 (62)	23 (6)	46 (12)	5 (1)	51 (12)	156 (35)	30 (6)	395 (74)	91 (17)	39 (7)	36 (7)	3.3 (0.6)	3.5 (0.7)	18.3 (4.2)	
M 51-Obj 46	49 (5)	26 (2)	47 (4)	 ... 	2.0 (0.2)	6.0 (0.5)	43 (4)	369 (31)	129 (11)	28 (2)	22 (2)	0.9 (0.2)	 ... 	70.6 (6.3)	
M 51-Obj 57	157 (46)	24 (6)	45 (12)	2.0 (0.5)	27 (6)	82 (19)	56 (11)	413 (79)	174 (33)	33 (6)	27 (5)	1.9 (0.5)	1.1 (0.3)	7.18 (1.70)	
M 51-Obj 73	216 (112)	29 (14)	50 (23)	1.0 (0.7)	9 (4)	30 (12)	49 (16)	343 (112)	152 (50)	47 (15)	37 (12)	4 (1)	 ... 	14.1 (5.9)	
M 51-Obj 94	160 (61)	28 (10)	49 (16)	1.1 (0.4)	7 (2)	20 (6)	47 (11)	333 (81)	138 (34)	28 (7)	20 (5)	0.7 (0.3)	0.6 (0.3)	17.7 (5.4)	
M 51-Obj 100	109 (9)	26 (2)	46 (4)	0.9 (0.2)	7.2 (0.6)	22 (2)	54 (4)	401 (31)	161 (12)	31 (2)	26 (2)	0.9 (0.3)	0.7 (0.2)	207 (16)	
M 51-Obj 101	148 (13)	26 (2)	47 (4)	2.8 (0.3)	11.8 (1.0)	36 (3)	48 (4)	350 (28)	142 (11)	24 (2)	18 (1)	0.6 (0.3)	0.6 (0.2)	12.5 (1.0)	
M 51-Obj 103	181 (51)	24 (6)	45 (11)	3.1 (0.8)	20 (5)	64 (15)	66 (12)	484 (90)	200 (37)	44 (8)	32 (6)	1.9 (0.4)	1.4 (0.4)	8.78 (2.02)	
