#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-12-07T21:20:05 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5665f73e2bf6	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/208/10&tab:{J/ApJS/208/10/model}&key:source=J/ApJS/208/10/model&HTTPPRM:&
#-source=J/ApJS/208/10/model
#-order=I
#-out=Z
#-out=kappa
#-out=logq
#-out=O2-3727
#-out=O2-3729
#-out=O3-4959
#-out=O3-5007
#-out=O1-6300
#-out=N2-6548
#-out=Ha
#-out=N2-6584
#-out=S2-6717
#-out=S2-6731
#

#RESOURCE=yCat_22080010
#Name: J/ApJS/208/10
#Title: Effects of a {kappa}-distribution in HII regions (Dopita+, 2013)
#Table	J_ApJS_208_10_model:
#Name: J/ApJS/208/10/model
#Title: Line fluxes (relative to H{beta}=1.0) and temperatures given by the MAPPINGS 4 models {\em(tables 4--6 of paper)}
#Column	Z	(F5.2)	[0.05/5] Model metallicity (relative to Sun)	[ucd=phys.abund.Z;meta.modelled]
#Column	kappa	(I2)	[10/50]? Model {kappa} value (blank values mean {\bf{infinity}}) [NULL integer written as an empty string]	[ucd=stat.param]
#Column	logq	(F5.2)	[6.5/8.5] Model ionization parameter (G1)	[ucd=stat.param]
#Column	O2-3727	(F7.4)	The [O II] 3727{AA} line flux (1)	[ucd=spect.line.intensity;arith.ratio]
#Column	O2-3729	(F7.4)	The [O II] 3729{AA} line flux (1)	[ucd=spect.line.intensity;arith.ratio]
#Column	O3-4959	(F7.4)	The [O III] 4959 line flux (1)	[ucd=spect.line.intensity;arith.ratio]
#Column	O3-5007	(F7.4)	The [O III] 5007 line flux (1)	[ucd=spect.line.intensity;arith.ratio]
#Column	O1-6300	(F7.4)	The [O I] 6300{AA} line flux (1)	[ucd=spect.line.intensity;arith.ratio]
#Column	N2-6548	(F7.4)	The [N II] 6548{AA} line flux (1)	[ucd=spect.line.intensity;arith.ratio]
#Column	Ha	(F7.4)	The H{alpha} line flux (1)	[ucd=spect.line.intensity;arith.ratio]
#Column	N2-6584	(F7.4)	The [N II] 6584{AA} line flux (1)	[ucd=spect.line.intensity;arith.ratio]
#Column	S2-6717	(F7.4)	The [S II] 6717{AA} line flux (1)	[ucd=spect.line.intensity;arith.ratio]
#Column	S2-6731	(F7.4)	The [S II] 6731{AA} line flux (1)	[ucd=spect.line.intensity;arith.ratio]
#Z;kappa;logq;O2-3727;O2-3729;O3-4959;O3-5007;O1-6300;N2-6548;Ha;N2-6584;S2-6717;S2-6731
#Sun; ;[m/s]; ; ; ; ; ; ; ; ; ;
#-----;--;-----;-------;-------;-------;-------;-------;-------;-------;-------;-------;-------
 5.00;  ; 8.50; 0.0105; 0.0148; 0.0021; 0.0061; 0.0012; 0.0565; 3.3420; 0.1661; 0.0267; 0.0188
 5.00;  ; 8.25; 0.0067; 0.0095; 0.0014; 0.0039; 0.0010; 0.0472; 3.3210; 0.1387; 0.0259; 0.0182
 5.00;  ; 8.00; 0.0048; 0.0068; 0.0010; 0.0029; 0.0010; 0.0429; 3.2950; 0.1263; 0.0277; 0.0194
 5.00;  ; 7.75; 0.0039; 0.0055; 0.0008; 0.0023; 0.0011; 0.0422; 3.2730; 0.1243; 0.0322; 0.0226
 5.00;  ; 7.50; 0.0030; 0.0043; 0.0006; 0.0017; 0.0012; 0.0416; 3.2580; 0.1223; 0.0375; 0.0263
 5.00;  ; 7.25; 0.0019; 0.0027; 0.0003; 0.0010; 0.0011; 0.0355; 3.2660; 0.1044; 0.0378; 0.0266
 5.00;  ; 7.00; 0.0008; 0.0012; 0.0001; 0.0004; 0.0008; 0.0235; 3.3000; 0.0692; 0.0298; 0.0210
 5.00;  ; 6.75; 0.0003; 0.0004; 0.0000; 0.0001; 0.0005; 0.0124; 3.3670; 0.0365; 0.0187; 0.0132
 5.00;  ; 6.50; 0.0000; 0.0001; 0.0000; 0.0000; 0.0002; 0.0035; 3.4790; 0.0103; 0.0065; 0.0046
 5.00;50; 8.50; 0.0204; 0.0285; 0.0036; 0.0104; 0.0015; 0.0683; 3.3460; 0.2009; 0.0318; 0.0224
 5.00;50; 8.25; 0.0143; 0.0200; 0.0025; 0.0073; 0.0013; 0.0592; 3.3250; 0.1741; 0.0318; 0.0223
 5.00;50; 8.00; 0.0113; 0.0159; 0.0020; 0.0058; 0.0013; 0.0560; 3.3010; 0.1647; 0.0351; 0.0246
 5.00;50; 7.75; 0.0098; 0.0138; 0.0017; 0.0048; 0.0015; 0.0570; 3.2790; 0.1677; 0.0420; 0.0295
 5.00;50; 7.50; 0.0085; 0.0120; 0.0013; 0.0037; 0.0017; 0.0579; 3.2640; 0.1704; 0.0502; 0.0353
 5.00;50; 7.25; 0.0062; 0.0086; 0.0007; 0.0021; 0.0017; 0.0516; 3.2730; 0.1518; 0.0529; 0.0372
 5.00;50; 7.00; 0.0034; 0.0047; 0.0003; 0.0008; 0.0014; 0.0368; 3.3060; 0.1083; 0.0449; 0.0317
 5.00;50; 6.75; 0.0015; 0.0021; 0.0001; 0.0002; 0.0009; 0.0208; 3.3730; 0.0613; 0.0303; 0.0215
 5.00;50; 6.50; 0.0003; 0.0004; 0.0000; 0.0000; 0.0004; 0.0070; 3.4820; 0.0207; 0.0125; 0.0089
 5.00;20; 8.50; 0.0437; 0.0602; 0.0075; 0.0216; 0.0019; 0.0862; 3.3520; 0.2536; 0.0394; 0.0278
 5.00;20; 8.25; 0.0338; 0.0467; 0.0056; 0.0161; 0.0018; 0.0782; 3.3330; 0.2299; 0.0408; 0.0288
 5.00;20; 8.00; 0.0296; 0.0408; 0.0047; 0.0137; 0.0018; 0.0777; 3.3090; 0.2287; 0.0471; 0.0331
 5.00;20; 7.75; 0.0281; 0.0386; 0.0041; 0.0117; 0.0021; 0.0821; 3.2890; 0.2415; 0.0581; 0.0408
 5.00;20; 7.50; 0.0268; 0.0366; 0.0031; 0.0090; 0.0025; 0.0864; 3.2750; 0.2542; 0.0717; 0.0504
 5.00;20; 7.25; 0.0235; 0.0319; 0.0019; 0.0056; 0.0028; 0.0841; 3.2800; 0.2474; 0.0819; 0.0577
 5.00;20; 7.00; 0.0153; 0.0205; 0.0008; 0.0022; 0.0025; 0.0643; 3.3150; 0.1891; 0.0749; 0.0530
 5.00;20; 6.75; 0.0074; 0.0096; 0.0002; 0.0006; 0.0018; 0.0381; 3.3820; 0.1121; 0.0533; 0.0379
 5.00;20; 6.50; 0.0021; 0.0026; 0.0000; 0.0001; 0.0010; 0.0151; 3.4900; 0.0445; 0.0255; 0.0183
 5.00;10; 8.50; 0.1030; 0.1361; 0.0193; 0.0558; 0.0026; 0.1130; 3.3670; 0.3324; 0.0511; 0.0364
 5.00;10; 8.25; 0.0900; 0.1183; 0.0159; 0.0460; 0.0025; 0.1096; 3.3500; 0.3225; 0.0558; 0.0396
 5.00;10; 8.00; 0.0876; 0.1137; 0.0142; 0.0410; 0.0027; 0.1158; 3.3270; 0.3406; 0.0677; 0.0479
