#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-12-06T22:00:08 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5664af9a5d2d	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AJ/116/2805&tab:{J/AJ/116/2805/table3}&key:source=J/AJ/116/2805/table3&HTTPPRM:&&-meta=1&-meta.foot=1&-meta.ucd=2&
#-source=J/AJ/116/2805/table3
#-order=I
#-out=[OII]
#-out=e_[OII]
#-out=[NeIII]
#-out=e_[NeIII]
#-out=[OIII]
#-out=e_[OIII]
#-out=[OI]
#-out=e_[OI]
#-out=[SIII]
#-out=e_[SIII]
#-out=Halpha
#-out=e_Halpha
#-out=[NII]
#-out=e_[NII]
#-out=[SII]
#-out=e_[SII]
#-out=[ArIII]
#-out=e_[ArIII]
#-out=cHbeta
#-out=e_cHbeta
#

#RESOURCE=yCat_51162805
#Name: J/AJ/116/2805
#Title: H II regions in spiral galaxies (Van Zee+, 1998)
#Table	J_AJ_116_2805_table3:
#Name: J/AJ/116/2805/table3
#Title: H II region line strengths
#Column	[OII]	(F5.2)	Relative [O II]3727+3729 line strength (2)	[ucd=spect.line.intensity;arith.ratio]
#Column	e_[OII]	(F5.2)	rms uncertainty on [OII]	[ucd=stat.error]
#Column	[NeIII]	(F6.3)	? Relative [Ne III] 3869 line strength (2)	[ucd=spect.line.intensity]
#Column	e_[NeIII]	(F6.3)	? rms uncertainty on [NeIII]	[ucd=stat.error]
#Column	[OIII]	(F6.3)	Relative [O III] 4959+5007 line strength (2)	[ucd=spect.line.intensity;arith.ratio]
#Column	e_[OIII]	(F6.3)	rms uncertainty on [OIII]	[ucd=stat.error]
#Column	[OI]	(F6.3)	? Relative [O I] 6300 line strength (2)	[ucd=spect.line.intensity;arith.ratio]
#Column	e_[OI]	(F6.3)	? rms uncertainty on [OI]	[ucd=stat.error]
#Column	[SIII]	(F6.3)	? Relative [S III] 6312 line strength (2)	[ucd=spect.line.intensity;arith.ratio]
#Column	e_[SIII]	(F6.3)	? rms uncertainty on [SIII]	[ucd=stat.error]
#Column	Halpha	(F5.2)	Relative H{alpha} 6563 line strength (2)	[ucd=spect.line.intensity;arith.ratio]
#Column	e_Halpha	(F5.2)	rms uncertainty on Halpha	[ucd=stat.error]
#Column	[NII]	(F6.3)	Relative [N II] 6548+6583 line strength (2)	[ucd=spect.line.intensity;arith.ratio]
#Column	e_[NII]	(F6.3)	rms uncertainty on [NII]	[ucd=stat.error]
#Column	[SII]	(F6.3)	Relative [S II] 6717+6731 line strength (2)	[ucd=spect.line.intensity;arith.ratio]
#Column	e_[SII]	(F6.3)	rms uncertainty on [SII]	[ucd=stat.error]
#Column	[ArIII]	(F6.3)	? Relative [Ar III] 7136 line strength (2)	[ucd=spect.line.intensity;arith.ratio]
#Column	e_[ArIII]	(F6.3)	? rms uncertainty on [ArIII]	[ucd=stat.error]
#Column	cHbeta	(F5.2)	Reddening coefficient c_H{beta}_	[ucd=phot.color.excess]
#Column	e_cHbeta	(F5.2)	rms uncertainty on cHbeta	[ucd=stat.error]
#[OII];e_[OII];[NeIII];e_[NeIII];[OIII];e_[OIII];[OI];e_[OI];[SIII];e_[SIII];Halpha;e_Halpha;[NII];e_[NII];[SII];e_[SII];[ArIII];e_[ArIII];cHbeta;e_cHbeta
# ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
#——;——;———;———;———;———;———;———;———;———;——;——;———;———;———;———;———;———;——;——
 2.19; 0.08; 0.059; 0.005; 1.486; 0.034; 0.010; 0.001;      ;      ; 2.86; 0.13; 0.676; 0.024; 0.426; 0.014; 0.066; 0.004; 0.29; 0.05
 2.32; 0.16;      ;      ; 0.353; 0.036;      ;      ;      ;      ; 2.86; 0.20; 0.960; 0.057; 0.695; 0.040;      ;      ; 0.48; 0.07
 2.62; 0.12;      ;      ; 1.035; 0.031; 0.029; 0.005;      ;      ; 2.65; 0.13; 0.807; 0.033; 0.631; 0.025; 0.055; 0.006; 0.45; 0.05
 2.48; 0.10;      ;      ; 2.070; 0.050; 0.029; 0.003;      ;      ; 2.87; 0.13; 0.722; 0.027; 0.464; 0.017; 0.089; 0.005; 0.51; 0.05
 2.26; 0.09;      ;      ; 0.709; 0.022; 0.015; 0.004;      ;      ; 2.86; 0.13; 0.879; 0.034; 0.698; 0.026; 0.054; 0.005; 0.48; 0.05
 1.89; 0.07; 0.049; 0.004; 1.141; 0.025; 0.021; 0.001;      ;      ; 2.86; 0.13; 0.739; 0.027; 0.482; 0.017; 0.058; 0.003; 0.36; 0.05
 2.96; 0.11; 0.070; 0.003; 2.068; 0.045; 0.018; 0.001; 0.010; 0.001; 2.81; 0.12; 0.686; 0.024; 0.360; 0.012; 0.078; 0.004; 0.39; 0.05
 4.05; 0.21;      ;      ; 1.476; 0.052;      ;      ;      ;      ; 2.86; 0.16; 0.846; 0.040; 0.611; 0.028; 0.069; 0.008; 0.27; 0.06
 2.35; 0.12;      ;      ; 1.925; 0.064;      ;      ;      ;      ; 3.74; 0.20; 1.001; 0.044; 0.736; 0.030; 0.101; 0.007; 0.40; 0.05
 3.12; 0.14;      ;      ; 1.591; 0.042;      ;      ;      ;      ; 2.86; 0.14; 0.788; 0.032; 0.610; 0.023; 0.071; 0.005; 0.33; 0.05
 2.88; 0.11; 0.122; 0.006; 2.715; 0.060; 0.036; 0.002; 0.007; 0.001; 2.72; 0.12; 0.666; 0.023; 0.500; 0.016; 0.084; 0.004; 0.41; 0.05
 3.74; 0.15;      ;      ; 2.221; 0.051;      ;      ;      ;      ; 2.76; 0.13; 0.821; 0.030; 0.875; 0.031; 0.065; 0.004; 0.28; 0.05
 4.76; 0.26;      ;      ; 2.488; 0.085;      ;      ;      ;      ; 2.82; 0.16; 0.795; 0.037; 0.958; 0.041; 0.086; 0.008; 0.05; 0.06
 4.23; 0.25;      ;      ; 0.866; 0.053;      ;      ;      ;      ; 2.86; 0.19; 0.569; 0.037; 0.682; 0.039;      ;      ; 0.24; 0.07
 4.12; 0.26;      ;      ; 2.254; 0.094;      ;      ;      ;      ; 2.83; 0.19; 0.822; 0.045; 0.946; 0.048; 0.096; 0.010; 0.38; 0.07
 3.43; 0.16;      ;      ; 2.936; 0.080;      ;      ;      ;      ; 2.86; 0.15; 0.581; 0.027; 0.760; 0.032; 0.083; 0.008; 0.16; 0.05
 3.39; 0.20;      ;      ; 4.014; 0.150;      ;      ;      ;      ; 2.83; 0.18; 0.532; 0.029; 0.626; 0.032; 0.082; 0.010; 0.08; 0.06
 3.38; 0.16;      ;      ; 2.936; 0.082;      ;      ;      ;      ; 2.78; 0.15; 0.426; 0.020; 0.425; 0.018; 0.061; 0.006; 0.26; 0.05
 2.48; 0.10; 0.395; 0.017; 5.365; 0.120; 0.022; 0.002;      ;      ; 2.56; 0.12; 0.211; 0.008; 0.205; 0.007; 0.068; 0.004; 0.39; 0.05
 1.69; 0.08;      ;      ; 1.036; 0.031;      ;      ;      ;      ; 2.86; 0.14; 0.726; 0.030; 0.668; 0.027; 0.062; 0.006; 0.00; 0.05
 2.37; 0.09;      ;      ; 0.698; 0.019; 0.043; 0.004; 0.011; 0.003; 2.87; 0.13; 0.899; 0.034; 0.931; 0.032; 0.041; 0.004; 0.18; 0.05
 2.88; 0.11;      ;      ; 0.915; 0.023;      ;      ;      ;      ; 2.89; 0.13; 0.866; 0.032; 0.873; 0.030; 0.051; 0.003; 0.34; 0.05
 2.94; 0.12;      ;      ; 0.826; 0.024; 0.059; 0.005; 0.013; 0.004; 2.89; 0.14; 0.919; 0.035; 0.945; 0.034; 0.047; 0.005; 0.38; 0.05
 1.59; 0.06;      ;      ; 0.995; 0.025;      ;      ;      ;      ; 2.90; 0.13; 0.768; 0.028; 0.806; 0.028; 0.058; 0.004; 0.04; 0.05
 3.20; 0.14;      ;      ; 0.545; 0.021;      ;      ;      ;      ; 2.90; 0.14; 0.959; 0.037; 0.867; 0.032; 0.046; 0.003; 0.53; 0.05
 3.40; 0.14;      ;      ; 0.889; 0.023;      ;      ;      ;      ; 2.86; 0.13; 0.825; 0.031; 0.822; 0.029; 0.062; 0.004; 0.52; 0.05
 2.82; 0.12;      ;      ; 1.275; 0.035;      ;      ;      ;      ; 2.86; 0.14; 0.758; 0.030; 0.751; 0.029; 0.057; 0.004; 0.28; 0.05
 3.44; 0.17; 0.283; 0.017; 2.286; 0.072; 0.036; 0.003;      ;      ; 2.83; 0.15; 0.553; 0.023; 0.698; 0.027; 0.087; 0.006; 0.62; 0.05
 2.54; 0.12; 0.365; 0.017; 5.129; 0.154; 0.034; 0.002; 0.011; 0.001; 2.84; 0.14; 0.289; 0.012; 0.339; 0.013; 0.112; 0.006; 0.33; 0.05
 4.57; 0.22; 0.220; 0.012; 1.544; 0.048; 0.081; 0.004;      ;      ; 2.75; 0.14; 0.577; 0.023; 0.896; 0.035; 0.062; 0.004; 0.24; 0.05
 4.12; 0.20; 0.416; 0.021; 2.716; 0.083; 0.079; 0.004;      ;      ; 2.80; 0.14; 0.430; 0.017; 0.779; 0.030; 0.074; 0.005; 0.19; 0.05
 2.51; 0.10; 0.242; 0.011; 2.834; 0.063; 0.025; 0.002; 0.010; 0.001; 2.86; 0.13; 0.397; 0.015; 0.459; 0.017; 0.083; 0.005; 0.24; 0.05
 3.04; 0.20;      ;      ; 3.489; 0.142;      ;      ;      ;      ; 2.83; 0.19; 0.324; 0.022; 0.727; 0.039; 0.051; 0.010; 0.31; 0.07
 3.47; 0.16;      ;      ; 2.409; 0.070;      ;      ;      ;      ; 2.92; 0.15; 0.501; 0.023; 0.434; 0.019; 0.071; 0.007; 0.26; 0.06
 2.72; 0.10; 0.270; 0.011; 4.091; 0.090; 0.032; 0.002; 0.013; 0.001; 2.65; 0.12; 0.318; 0.012; 0.378; 0.013; 0.088; 0.005; 0.51; 0.05
 4.86; 0.24;      ;      ; 1.947; 0.059; 0.045; 0.002; 0.011; 0.001; 2.80; 0.14; 0.491; 0.020; 0.667; 0.025; 0.067; 0.004; 0.29; 0.05
 4.86; 0.25;      ;      ; 2.656; 0.083; 0.117; 0.007;      ;      ; 2.86; 0.15; 0.451; 0.020; 0.917; 0.037; 0.068; 0.005; 0.29; 0.06
