O  1 917.473A
O  1 917.726A
O  1 917.970A
P  3 918.147A
Ar 1 918.493A
O  1 918.704A
O  1 919.912A
O  1 920.243A
H  1 920.969A
Ar 1 922.509A
O  1 922.969A
H  1 923.156A
O  1 923.438A
Cr 3 924.009A
H  1 926.231A
O  1 927.472A
O  1 928.186A
Al 2 929.014A
H  1 930.754A
O  1 934.501A
O  1 935.672A
H  1 937.809A
N  1 942.258A
C  1 943.939A
C  2 946.100A
O  1 946.387A
O  1 948.506A
H  1 949.749A
P  4 950.661A
N  1 952.118A
N  1 953.900A
N  1 954.100A
Mg 2 959.306A
P  2 963.828A
P  2 967.202A
O  1 969.049A
H  1 972.543A
O  1 973.577A
O  1 976.791A
C  3 977.000A
N  1 980.700A
Cl 4 981.258A
N  3 991.000A
Si 2 993.354A
P  3 1001.73A
S  3 1007.34A
Cl 3 1011.29A
C  2 1020.18A
Si 2 1024.03A
H  1 1025.73A
Cr 3 1033.06A
Cr 3 1035.74A
C  2 1036.80A
Mg 2 1040.08A
Cl 2 1071.32A
N  2 1085.00A
S  4 1086.27A
C  2 1092.50A
Ar 1 1095.69A
P  5 1121.30A
Fe 3 1125.79A
N  1 1131.12A
C  1 1140.10A
P  2 1154.42A
C  3 1176.00A
Si 2 1179.59A
S  3 1197.56A
Mn 2 1198.85A
N  1 1200.00A
Si 3 1207.00A
He 2 1215.23A
H  1 1215.68A
C  1 1247.50A
S  2 1256.00A
Mg 2 1257.64A
Si 2 1263.32A
Si 2 1307.66A
P  2 1307.68A
C  1 1314.77A
Ni 2 1324.11A
C  2 1335.00A
P  3 1341.17A
O  1 1357.00A
Ni 2 1375.73A
Si 4 1394.00A
Ni 2 1400.37A
Si 4 1403.00A
S  4 1406.00A
S  4 1417.00A
Ni 2 1472.74A
Ni 2 1484.97A
N  4 1485.00A
N  4 1486.00A
Si 2 1531.00A
C  4 1548.00A
C  4 1551.00A
C  1 1561.33A
C  3 1577.10A
He 2 1640.00A
C  1 1656.00A
O  3 1661.00A
O  3 1666.00A
Al 2 1670.79A
S  3 1720.00A
N  2 1742.00A
Ni 2 1744.24A
N  3 1749.00A
N  3 1751.00A
Ni 2 1751.83A
N  3 1752.00A
N  3 1754.00A
Fe 2 1786.00A
Si 2 1813.99A
Ne 3 1815.00A
C  3 1828.00A
Al 3 1855.00A
Al 3 1863.00A
Si 3 1883.00A
Si 3 1892.00A
C  3 1907.00A
C  3 1910.00A
Cr 2 2060.44A
N  2 2141.00A
C  3 2296.90A
O  3 2321.00A
C  2 2324.00A
C  2 2325.00A
C  2 2327.00A
C  2 2328.00A
C  2 2329.00A
Si 2 2336.00A
Si 2 2344.00A
Fe 2 2400.00A
O II 2471.00A
Mn 2 2589.74A
Al 2 2660.00A
Al 2 2670.00A
Mg 2 2795.53A
Mg 2 2802.71A
He 1 2829.08A
Mg 1 2853.00A
Ar 4 2854.00A
He 1 2945.10A
Ar 3 3109.00A
He 1 3187.74A
Ne 3 3343.00A
He 1 3447.59A
He 1 3613.64A
S  3 3722.00A
O II 3726.00A
O II 3729.00A
H  1 3797.92A
He 1 3819.60A
H  1 3835.40A
O  2 3867.00A
He 1 3867.47A
Ne 3 3869.00A
He 1 3888.63A
H  1 3889.07A
He 1 3964.73A
Ne 3 3968.00A
H  1 3970.09A
He 1 4026.19A
N  2 4041.00A
O  2 4051.00A
C  3 4069.00A
S II 4070.00A
S  2 4074.00A
O  2 4075.00A
S II 4078.00A
O  2 4094.00A
H  1 4101.76A
O  2 4111.00A
He 1 4120.81A
He 1 4143.76A
O  2 4152.00A
He 1 4168.97A
O  2 4188.00A
N  2 4239.00A
C  2 4267.00A
O  2 4278.00A
O  2 4294.00A
Fe 2 4300.00A
H  1 4340.49A
O  2 4342.00A
TOTL 4363.00A
N  3 4379.00A
He 1 4387.93A
He 1 4437.55A
He 1 4471.47A
O  2 4607.00A
C  3 4649.00A
Fe 3 4658.55A
P  2 4669.00A
He 2 4686.01A
Fe 3 4702.03A
Ar 4 4711.00A
He 1 4713.02A
Ar 4 4740.00A
Fe 3 4755.19A
H  1 4861.36A
O  2 4913.00A
He 1 4921.93A
O  3 4931.00A
O  3 4959.00A
N  2 5005.00A
O  3 5007.00A
He 1 5015.68A
He 1 5047.64A
Ar 3 5192.00A
N  1 5198.00A
N  1 5200.00A
Fe 3 5270.90A
Cl 4 5324.00A
Cl 3 5518.00A
Cl 3 5538.00A
O  1 5577.00A
TOTL 5679.00A
N  2 5755.00A
Cr 3 5828.00A
He 1 5875.61A
Na 1 5891.94A
O  1 6300.00A
S  3 6312.00A
O  1 6363.00A
N  2 6548.00A
H  1 6562.85A
Cr 5 6577.00A
N  2 6584.00A
He 1 6678.15A
S II 6716.00A
S  2 6720.00A
S II 6731.00A
Cr 4 6801.00A
He 1 7065.18A
Ar 3 7135.00A
Ar 4 7171.00A
Ar 4 7237.00A
Ar 4 7263.00A
Cr 4 7267.00A
He 1 7281.35A
Ca 2 7306.00A
O II 7323.00A
O II 7332.00A
Cl 4 7532.00A
Ar 3 7751.00A
O  1 7773.00A
O  1 7949.50A
Cr 5 7979.00A
Cl 4 8047.00A
He 1 8361.73A
Cl 2 8579.00A
Fe 2 8616.95A
H  1 9014.92A
