He II	3204.038	3203.112
Ne V	3346.783	3345.821
Ne V	3426.863	3425.881
O II	3727.092	3726.032
O II	3729.875	3728.815
Ne III	3869.86	3868.76
Ne III	3968.59	3967.47
Hd	4102.8991	4101.7415
Hg	4341.691	4340.471
O III	4364.435	4363.209
He II	4687.015	4685.704
Ar IV	4712.58	4711.26
Ar IV	4741.45	4740.12
Hb	4862.691	4861.333
O III	4960.295	4958.911
O III	5008.240	5006.843
N I	5199.349	5197.902
N I	5201.705	5200.257
He I	5877.243	5875.615
Na I	5891.583	5889.951
Na I	5897.558	5895.924
O I	6302.046	6300.304
O I	6365.535	6363.776
N II	6549.86	6548.05
Ha	6564.632	6562.819
N II	6585.27	6583.45
S II	6718.294	6716.440
S II	6732.674	6730.816
Ar III	7137.76	7135.79
Ar IV	7172.68	7170.70
Ar IV	7239.76	7237.77
Ar IV	7265.33	7263.33
O II	7320.94	7318.92
O II	7322.01	7319.99
O II	7331.69	7329.67
O II	7332.75	7330.73
Ar IV	7334.17	7332.15
Ar III	7753.24	7751.11
Ar III	8038.73	8036.52
S III	8831.8	8829.4
S III	9071.1	9068.6
S III	9533.2	9530.6
